arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,17,0.519558609,1,0.431064367,0
stale-soft,0,0,1,20,0.490758836,1,0.242320672,0
stale-soft,0,0,2,0,0.457617939,1,0.124891333,0
stale-soft,0,0,3,3,0.45118919,1,0.109822862,0
stale-soft,0,0,4,10,0.442281276,1,0.091900818,0
stale-soft,0,0,5,16,0.431195021,0,0,0
stale-soft,0,0,6,34,0.404154599,0,0,1
stale-soft,0,0,7,24,0.398559809,0,0,0
stale-soft,0,0,8,30,0.382851541,0,0,0
stale-soft,0,0,9,15,0.380274087,0,0,0
stale-soft,0,0,10,11,0.371839553,0,0,0
stale-soft,0,0,11,26,0.361172855,0,0,0
stale-soft,0,0,12,25,0.347142816,0,0,0
stale-soft,0,0,13,59,0.343266845,0,0,1
stale-soft,0,0,14,41,0.338144958,0,0,1
stale-soft,0,0,15,62,0.326478124,0,0,1
stale-soft,0,0,16,9,0.3125332,0,0,0
stale-soft,0,0,17,2,0.303171009,0,0,0
stale-soft,0,0,18,14,0.297584713,0,0,0
stale-soft,0,0,19,61,0.297413945,0,0,1
stale-soft,0,2,0,5,0.563106537,1,0.298940331,0
stale-soft,0,2,1,7,0.525497556,1,0.140901893,0
stale-soft,0,2,2,22,0.518948495,1,0.123604059,0
stale-soft,0,2,3,16,0.492596507,1,0.0729696006,0
stale-soft,0,2,4,8,0.47330454,1,0.0496105477,0
stale-soft,0,2,5,0,0.465557337,1,0.0424896292,0
stale-soft,0,2,6,11,0.465487123,1,0.0424299836,0
stale-soft,0,2,7,12,0.464110047,1,0.0412773564,0
stale-soft,0,2,8,25,0.462812185,1,0.0402197018,0
stale-soft,0,2,9,14,0.461864293,1,0.0394643955,0
stale-soft,0,2,10,2,0.450974107,1,0.0317405462,0
stale-soft,0,2,11,23,0.447235405,1,0.029453747,0
stale-soft,0,2,12,4,0.437850207,1,0.0244130325,0
stale-soft,0,2,13,20,0.433737159,1,0.0224851705,0
stale-soft,0,2,14,24,0.431903124,0,0,0
stale-soft,0,2,15,15,0.427126408,0,0,0
stale-soft,0,2,16,9,0.424092114,0,0,0
stale-soft,0,2,17,10,0.422404945,0,0,0
stale-soft,0,2,18,3,0.393883526,0,0,0
stale-soft,0,2,19,28,0.382040083,0,0,0
stale-soft,0,3,0,22,0.692295909,1,0.635377407,0
stale-soft,0,3,1,25,0.610780716,1,0.124451466,0
stale-soft,0,3,2,7,0.607672513,1,0.116950579,0
stale-soft,0,3,3,5,0.576097012,1,0.0621929504,0
stale-soft,0,3,4,2,0.562269568,1,0.0471668951,0
stale-soft,0,3,5,12,0.450062782,1,0.00500059268,0
stale-soft,0,3,6,23,0.447320908,1,0.00473375758,0
stale-soft,0,3,7,15,0.440454096,1,0.00412630988,0
stale-soft,0,3,8,28,0.418075711,0,0,0
stale-soft,0,3,9,19,0.384004593,0,0,0
stale-soft,0,3,10,20,0.371023774,0,0,0
stale-soft,0,3,11,21,0.365012467,0,0,0
stale-soft,0,3,12,4,0.364255607,0,0,0
stale-soft,0,3,13,10,0.341995418,0,0,0
stale-soft,0,3,14,8,0.33303529,0,0,0
stale-soft,0,3,15,3,0.302986145,0,0,0
stale-soft,0,3,16,11,0.259067178,0,0,0
stale-soft,0,3,17,6,0.255189419,0,0,0
stale-soft,0,3,18,9,0.252875358,0,0,0
stale-soft,0,3,19,16,0.232968926,0,0,0
stale-soft,0,4,0,25,0.692281246,1,0.438327402,0
stale-soft,0,4,1,3,0.644469023,1,0.16846393,0
stale-soft,0,4,2,23,0.627457976,1,0.119881079,0
stale-soft,0,4,3,12,0.568619251,1,0.036955934,0
stale-soft,0,4,4,8,0.558100045,1,0.0299443845,0
stale-soft,0,4,5,16,0.546170115,1,0.0235881153,0
stale-soft,0,4,6,21,0.545601249,1,0.0233212672,0
stale-soft,0,4,7,9,0.543440819,1,0.0223350581,0
stale-soft,0,4,8,2,0.540476918,1,0.0210495479,0
stale-soft,0,4,9,17,0.531448841,1,0.0175721981,0
stale-soft,0,4,10,1,0.528718472,1,0.0166383572,0
stale-soft,0,4,11,29,0.523815513,1,0.0150842471,0
stale-soft,0,4,12,0,0.519628286,1,0.0138724791,0
stale-soft,0,4,13,24,0.50427407,1,0.0102044391,0
stale-soft,0,4,14,7,0.500752926,1,0.00951053109,0
stale-soft,0,4,15,5,0.500177741,1,0.00940174703,0
stale-soft,0,4,16,14,0.490821898,1,0.00779731106,0
stale-soft,0,4,17,20,0.480963618,1,0.00640201895,0
stale-soft,0,4,18,11,0.47191605,1,0.00534233218,0
stale-soft,0,4,19,27,0.46115309,1,0.00430769427,0
stale-soft,0,5,0,23,0.680005074,1,0.393147022,0
stale-soft,0,5,1,2,0.656863749,1,0.247486725,0
stale-soft,0,5,2,7,0.644133031,1,0.191855609,0
stale-soft,0,5,3,25,0.572687864,1,0.0459631272,0
stale-soft,0,5,4,3,0.528307796,1,0.0189203415,0
stale-soft,0,5,5,24,0.526860178,1,0.0183804203,0
stale-soft,0,5,6,12,0.515635014,1,0.0146843512,0
stale-soft,0,5,7,5,0.512311339,1,0.0137399612,0
stale-soft,0,5,8,22,0.509046674,1,0.0128714945,0
stale-soft,0,5,9,28,0.499366432,1,0.0106059024,0
stale-soft,0,5,10,15,0.496193856,1,0.00995384529,0
stale-soft,0,5,11,10,0.491747677,1,0.00910692848,0
stale-soft,0,5,12,8,0.458082974,1,0.00464476785,0
stale-soft,0,5,13,11,0.454498947,1,0.00432348344,0
stale-soft,0,5,14,16,0.454412073,1,0.00431597745,0
stale-soft,0,5,15,29,0.427482933,0,0,0
stale-soft,0,5,16,9,0.422809541,0,0,0
stale-soft,0,5,17,14,0.418941975,0,0,0
stale-soft,0,5,18,17,0.411004871,0,0,0
stale-soft,0,5,19,21,0.407190859,0,0,0
stale-soft,0,6,0,7,0.499583244,1,0.433262914,0
stale-soft,0,6,1,28,0.49681282,1,0.409909457,0
stale-soft,0,6,2,16,0.448773384,1,0.156827658,0
stale-soft,0,6,3,23,0.408197373,0,0,0
stale-soft,0,6,4,30,0.402821541,0,0,0
stale-soft,0,6,5,13,0.394123286,0,0,0
stale-soft,0,6,6,24,0.375323266,0,0,0
stale-soft,0,6,7,17,0.372412205,0,0,0
stale-soft,0,6,8,5,0.37014848,0,0,0
stale-soft,0,6,9,2,0.363073289,0,0,0
stale-soft,0,6,10,12,0.361755401,0,0,0
stale-soft,0,6,11,10,0.357581258,0,0,0
stale-soft,0,6,12,21,0.356560528,0,0,0
stale-soft,0,6,13,15,0.334613323,0,0,0
stale-soft,0,6,14,29,0.324563831,0,0,0
stale-soft,0,6,15,3,0.324252903,0,0,0
stale-soft,0,6,16,0,0.318909347,0,0,0
stale-soft,0,6,17,25,0.317058325,0,0,0
stale-soft,0,6,18,8,0.315550625,0,0,0
stale-soft,0,6,19,9,0.30708456,0,0,0
stale-soft,0,7,0,24,0.63166672,1,0.43073231,0
stale-soft,0,7,1,0,0.616255879,1,0.31648308,0
stale-soft,0,7,2,14,0.516694844,1,0.0432090238,0
stale-soft,0,7,3,30,0.515069425,1,0.0418269709,0
stale-soft,0,7,4,10,0.500396132,1,0.0311892927,0
stale-soft,0,7,5,1,0.49162209,1,0.0261694826,0
stale-soft,0,7,6,16,0.489888847,1,0.0252778828,0
stale-soft,0,7,7,11,0.479193449,1,0.0204099324,0
stale-soft,0,7,8,17,0.473417521,1,0.018183291,0
stale-soft,0,7,9,31,0.462079376,1,0.0144940792,0
stale-soft,0,7,10,23,0.461392254,1,0.0142962579,0
stale-soft,0,7,11,29,0.439059883,1,0.00914630666,0
stale-soft,0,7,12,8,0.435876489,1,0.00858212914,0
stale-soft,0,7,13,9,0.42825377,0,0,0
stale-soft,0,7,14,12,0.422939241,0,0,0
stale-soft,0,7,15,27,0.403190345,0,0,0
stale-soft,0,7,16,46,0.395133257,0,0,1
stale-soft,0,7,17,20,0.391037077,0,0,0
stale-soft,0,7,18,39,0.387380719,0,0,1
stale-soft,0,7,19,5,0.385544181,0,0,0
stale-soft,0,8,0,25,0.672109008,1,0.247538254,0
stale-soft,0,8,1,7,0.668688118,1,0.231168658,0
stale-soft,0,8,2,5,0.664829135,1,0.213998213,0
stale-soft,0,8,3,22,0.643793464,1,0.140506566,0
stale-soft,0,8,4,2,0.626688242,1,0.09979821,0
stale-soft,0,8,5,23,0.554914594,1,0.0237522405,0
stale-soft,0,8,6,12,0.538911819,1,0.0172467176,0
stale-soft,0,8,7,28,0.53496933,1,0.0159390494,0
stale-soft,0,8,8,15,0.482329756,1,0.00556212617,0
stale-soft,0,8,9,20,0.439952523,1,0.0023831802,0
stale-soft,0,8,10,9,0.433788568,1,0.00210677041,0
stale-soft,0,8,11,8,0.432179689,0,0,0
stale-soft,0,8,12,21,0.415682495,0,0,0
stale-soft,0,8,13,3,0.414818138,0,0,0
stale-soft,0,8,14,0,0.408450902,0,0,0
stale-soft,0,8,15,16,0.402034342,0,0,0
stale-soft,0,8,16,19,0.398624033,0,0,0
stale-soft,0,8,17,1,0.388884783,0,0,0
stale-soft,0,8,18,10,0.38567695,0,0,0
stale-soft,0,8,19,11,0.383939624,0,0,0
stale-soft,0,9,0,5,0.522403121,1,0.281061947,0
stale-soft,0,9,1,21,0.503689766,1,0.193312585,0
stale-soft,0,9,2,7,0.470284909,1,0.099108085,0
stale-soft,0,9,3,23,0.467535585,1,0.0938056409,0
stale-soft,0,9,4,16,0.458586752,1,0.0784332529,0
