arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,18,0.663777888,1,0.280535758,0
stale-soft,0,0,1,25,0.663233519,1,0.277498096,0
stale-soft,0,0,2,12,0.650318742,1,0.214330241,0
stale-soft,0,0,3,28,0.634743512,1,0.156963557,0
stale-soft,0,0,4,8,0.594845533,1,0.0706723481,0
stale-soft,0,0,5,0,0.415421128,0,0,0
stale-soft,0,0,6,2,0.415172935,0,0,0
stale-soft,0,0,7,14,0.405729711,0,0,0
stale-soft,0,0,8,15,0.373646826,0,0,0
stale-soft,0,0,9,22,0.337321788,0,0,0
stale-soft,0,0,10,29,0.285071701,0,0,0
stale-soft,0,0,11,11,0.279063821,0,0,0
stale-soft,0,0,12,4,0.274471104,0,0,0
stale-soft,0,0,13,82,0.272279322,0,0,2
stale-soft,0,0,14,16,0.264166683,0,0,0
stale-soft,0,0,15,78,0.262296557,0,0,2
stale-soft,0,0,16,10,0.259194255,0,0,0
stale-soft,0,0,17,13,0.252795815,0,0,0
stale-soft,0,0,18,87,0.24958393,0,0,2
stale-soft,0,0,19,9,0.239727497,0,0,0
stale-soft,0,4,0,22,0.799053133,1,0.828963578,0
stale-soft,0,4,1,11,0.708280802,1,0.134926394,0
stale-soft,0,4,2,29,0.642372966,1,0.0361100845,0
stale-soft,0,4,3,4,0.555508733,0,0,0
stale-soft,0,4,4,88,0.475596875,0,0,2
stale-soft,0,4,5,80,0.461815536,0,0,2
stale-soft,0,4,6,23,0.455785602,0,0,0
stale-soft,0,4,7,52,0.453591824,0,0,1
stale-soft,0,4,8,19,0.433376849,0,0,0
stale-soft,0,4,9,28,0.426626623,0,0,0
stale-soft,0,4,10,102,0.425388187,0,0,3
stale-soft,0,4,11,14,0.422947228,0,0,0
stale-soft,0,4,12,101,0.417641461,0,0,3
stale-soft,0,4,13,10,0.414219677,0,0,0
stale-soft,0,4,14,37,0.405641377,0,0,1
stale-soft,0,4,15,25,0.397504389,0,0,0
stale-soft,0,4,16,20,0.394402266,0,0,0
stale-soft,0,4,17,0,0.39069894,0,0,0
stale-soft,0,4,18,12,0.381764174,0,0,0
stale-soft,0,4,19,18,0.379657924,0,0,0
stale-soft,0,5,0,2,0.977315068,1,0.995450318,0
stale-soft,0,5,1,12,0.702697754,1,0.0040994361,0
stale-soft,0,5,2,25,0.592258573,1,0.00045025791,0
stale-soft,0,5,3,18,0.526328444,0,0,0
stale-soft,0,5,4,28,0.518277407,0,0,0
stale-soft,0,5,5,8,0.509221792,0,0,0
stale-soft,0,5,6,14,0.495111167,0,0,0
stale-soft,0,5,7,0,0.380741626,0,0,0
stale-soft,0,5,8,21,0.345668137,0,0,0
stale-soft,0,5,9,1,0.294246435,0,0,0
stale-soft,0,5,10,15,0.293665409,0,0,0
stale-soft,0,5,11,17,0.278802425,0,0,0
stale-soft,0,5,12,26,0.274901301,0,0,0
stale-soft,0,5,13,6,0.270782113,0,0,0
stale-soft,0,5,14,24,0.267866164,0,0,0
stale-soft,0,5,15,13,0.267047375,0,0,0
stale-soft,0,5,16,22,0.245497227,0,0,0
stale-soft,0,5,17,7,0.242515594,0,0,0
stale-soft,0,5,18,3,0.242433459,0,0,0
stale-soft,0,5,19,11,0.231547654,0,0,0
stale-soft,0,7,0,29,0.67480588,1,1,0
stale-soft,0,7,1,30,0.54187125,0,0,0
stale-soft,0,7,2,23,0.514152408,0,0,0
stale-soft,0,7,3,19,0.491427898,0,0,0
stale-soft,0,7,4,4,0.478253514,0,0,0
stale-soft,0,7,5,22,0.445985764,0,0,0
stale-soft,0,7,6,9,0.415774107,0,0,0
stale-soft,0,7,7,16,0.361379862,0,0,0
stale-soft,0,7,8,10,0.339868933,0,0,0
stale-soft,0,7,9,20,0.334665239,0,0,0
stale-soft,0,7,10,1,0.295895755,0,0,0
stale-soft,0,7,11,31,0.286464065,0,0,0
stale-soft,0,7,12,15,0.247851238,0,0,0
stale-soft,0,7,13,11,0.236911029,0,0,0
stale-soft,0,7,14,5,0.23371698,0,0,0
stale-soft,0,7,15,26,0.205736935,0,0,0
stale-soft,0,7,16,14,0.204017341,0,0,0
stale-soft,0,7,17,18,0.191982865,0,0,0
stale-soft,0,7,18,2,0.169283807,0,0,0
stale-soft,0,7,19,25,0.16436106,0,0,0
stale-soft,0,10,0,9,0.786862254,1,0.867839873,0
stale-soft,0,10,1,20,0.653840005,1,0.0606768951,0
stale-soft,0,10,2,16,0.614910007,1,0.0278536025,0
stale-soft,0,10,3,5,0.605358541,1,0.0230101086,0
stale-soft,0,10,4,4,0.5998739,1,0.02061956,0
stale-soft,0,10,5,10,0.536841512,0,0,0
stale-soft,0,10,6,15,0.49886778,0,0,0
stale-soft,0,10,7,29,0.344849318,0,0,0
stale-soft,0,10,8,8,0.290571809,0,0,0
stale-soft,0,10,9,30,0.255907416,0,0,0
stale-soft,0,10,10,19,0.231973201,0,0,0
stale-soft,0,10,11,23,0.21073541,0,0,0
stale-soft,0,10,12,22,0.20335421,0,0,0
stale-soft,0,10,13,0,0.19808948,0,0,0
stale-soft,0,10,14,27,0.197210908,0,0,0
stale-soft,0,10,15,12,0.196673065,0,0,0
stale-soft,0,10,16,28,0.168384671,0,0,0
stale-soft,0,10,17,25,0.13341786,0,0,0
stale-soft,0,10,18,17,0.0950903594,0,0,0
stale-soft,0,10,19,13,0.0933428258,0,0,0
stale-soft,0,11,0,12,0.717459738,1,0.676677823,0
stale-soft,0,11,1,25,0.626724482,1,0.110221319,0
stale-soft,0,11,2,2,0.621312678,1,0.0989143252,0
stale-soft,0,11,3,8,0.611854851,1,0.0818671286,0
stale-soft,0,11,4,28,0.565383434,1,0.0323194563,0
stale-soft,0,11,5,18,0.563818216,0,0,0
stale-soft,0,11,6,14,0.482454896,0,0,0
stale-soft,0,11,7,0,0.435988039,0,0,0
stale-soft,0,11,8,4,0.320138723,0,0,0
stale-soft,0,11,9,15,0.300749958,0,0,0
stale-soft,0,11,10,22,0.282162368,0,0,0
stale-soft,0,11,11,21,0.262210548,0,0,0
stale-soft,0,11,12,11,0.255044341,0,0,0
stale-soft,0,11,13,10,0.250131607,0,0,0
stale-soft,0,11,14,101,0.23790741,0,0,3
stale-soft,0,11,15,13,0.233409464,0,0,0
stale-soft,0,11,16,82,0.227881923,0,0,2
stale-soft,0,11,17,53,0.214789674,0,0,1
stale-soft,0,11,18,78,0.213075176,0,0,2
stale-soft,0,11,19,17,0.209625602,0,0,0
stale-soft,0,13,0,15,0.755703926,1,0.74242717,0
stale-soft,0,13,1,5,0.67813468,1,0.157360584,0
stale-soft,0,13,2,10,0.655572236,1,0.100212283,0
stale-soft,0,13,3,20,0.546073556,0,0,0
stale-soft,0,13,4,0,0.506739616,0,0,0
stale-soft,0,13,5,8,0.444979399,0,0,0
stale-soft,0,13,6,9,0.413699895,0,0,0
stale-soft,0,13,7,12,0.398046225,0,0,0
stale-soft,0,13,8,4,0.382677525,0,0,0
stale-soft,0,13,9,16,0.311988741,0,0,0
stale-soft,0,13,10,27,0.308470339,0,0,0
stale-soft,0,13,11,25,0.301543891,0,0,0
