query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairE_oneshot_s2:e0:p0,2,0,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p18,2,0,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p27,2,0,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p30,2,0,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p42,2,0,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p70,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p72,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p82,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p85,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p94,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p96,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p100,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p101,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p108,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p111,2,0,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p122,2,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairE_oneshot_s2:e0:p174,2,0,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.5
pairE_oneshot_s2:e0:p187,2,0,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.5
pairE_oneshot_s2:e0:p195,2,0,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e0:p198,2,0,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e0:p210,2,0,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e0:p225,2,0,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e0:p240,2,0,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p2,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p3,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p4,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p5,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p6,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p8,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p9,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p10,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p11,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p12,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p13,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p14,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p15,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p16,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p17,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p18,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
pairE_oneshot_s2:e6:p19,2,1,1,ACT,"{""0"": 0.5, ""3"": 0.5}",0.5
