query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairC_oneshot_s2:e6:p0,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p1,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p2,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p4,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p9,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p10,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p12,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p13,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p14,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p19,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p21,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p22,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p23,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p25,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p26,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p28,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p29,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p30,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p31,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p32,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p33,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p36,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p37,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p38,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p40,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p42,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p43,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p44,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p45,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p47,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p48,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p49,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p51,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p53,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p55,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p56,2,1,1,ACT,"{""3"": 1.0}",1.0
pairC_oneshot_s2:e6:p58,2,1,1,ACT,"{""3"": 1.0}",1.0
